id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,year_found
33683051,Pike & Pine Cap Hill Corp Housing 1- IZ,50550045,Day 1,Mann,47.60778,-122.29667,Entire home/apt,200,2,0,,,181,114,2019
33688588,AMAZING LOCATION-Queen Anne one bedroom one bath,55431667,Samantha,West Queen Anne,47.63827,-122.36085,Entire home/apt,150,1,2,7/21/2019,0.71,1,19,2019
33688796,Stylish Fremont 3 Bedroom Home,25322169,Rabecca,Fremont,47.65729,-122.35061,Entire home/apt,180,2,11,7/26/2019,2.64,2,67,2019
33688797,Queen Anne 1 Bedroom Apartment w/ Vintage Charm,253918977,Shawn,West Queen Anne,47.63332,-122.37005,Entire home/apt,100,2,21,8/15/2019,6.92,1,3,2019
33689764,Comfy Loveseat or Airbed in modern Fremont condo!,15231441,Gabe,Fremont,47.65362,-122.35411,Shared room,39,1,17,8/14/2019,5.54,1,48,2019
33689841,"Hop skip-n-jump to Tibetan monastery, eats, drinks",253952321,Kirsten,Greenwood,47.68839,-122.35617,Private room,80,1,0,,,1,0,2019
33689899,Stunning New listing!  Beautiful 1 bdrm city home!,12171359,Diane,Lawton Park,47.65617,-122.40309,Entire home/apt,150,3,8,8/9/2019,2.02,3,182,2019
33690503,Captivating One Bedroom Condo.,86157147,Lyle,Belltown,47.61716,-122.34704,Entire home/apt,106,2,23,7/29/2019,5.66,12,18,2019
33692462,Beautiful Room in Charming Capitol Hill home,15502197,Kimberley,Minor,47.60484,-122.3136,Private room,100,2,0,,,8,121,2019
33708966,Private room in a modern Townhouse in Capitol Hill,239670464,Holly,Stevens,47.62003,-122.31074,Private room,75,1,5,7/7/2019,1.52,3,141,2019
33711476,Pets Welcome Two Bedroom House,254112065,James,Mid-Beacon Hill,47.55609,-122.30761,Entire home/apt,85,2,14,8/16/2019,4,1,323,2019
33713040,Magnolia magic on the second floor,3976886,Barbara,Mount Baker,47.57442,-122.29105,Private room,55,2,9,7/18/2019,2.84,2,16,2019
33715484,"All you need, perfectly located W. Seattle Studio",5588890,Violet,Alki,47.56599,-122.40041,Entire home/apt,90,2,17,8/17/2019,5.1,1,53,2019
33717119,Queen Anne private studio - modern craftsman charm,29688752,Tim,West Queen Anne,47.63782,-122.35842,Entire home/apt,229,2,13,8/7/2019,4.87,1,158,2019
33717205,NO CLEAN FEE 15 min Downtown Updated Cozy Bedroom,85038298,Kathleen,Pinehurst,47.72166,-122.31759,Private room,50,1,36,8/14/2019,8.37,3,150,2019
33717386,2BR in Seattle near Attractions,48005494,Zeus,Westlake,47.62995,-122.34318,Entire home/apt,173,30,0,,,156,339,2019
33717451,Awesome Seattle 2BR with Unique Vibe,48005494,Zeus,Westlake,47.63047,-122.34277,Entire home/apt,164,30,0,,,156,365,2019
33718058,Spacious West Seattle Lower Level Suite!,229095817,Loftium,Gatewood,47.54581,-122.37723,Entire home/apt,100,1,19,8/9/2019,4.71,76,78,2019
33718750,The Palms in Wallingford,254175280,Dean,Wallingford,47.65241,-122.337,Entire home/apt,100,1,18,8/14/2019,4.25,1,334,2019
33719247,"Private Room, Queen bed: Airport, Downtown, Renton",59072708,Tianen,Rainier View,47.49741,-122.26766,Private room,50,1,19,7/17/2019,4.56,5,44,2019
33719803,Simple & Clean Downtown Studio,122818335,Marianne,Belltown,47.61598,-122.3507,Entire home/apt,119,1,2,5/10/2019,0.48,1,0,2019
33734737,"Prime Roosevelt Contemporary Studio, Olympic Views",19403115,Vince,Roosevelt,47.6765,-122.31484,Entire home/apt,85,1,22,8/15/2019,5.5,11,325,2019
